Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2019,Wayne,MI,Passenger,0,1,1,58,59,1.69
January 31 2020,Oldham,KY,Passenger,0,1,1,3,4,25.00
January 31 2020,Orange,CA,Passenger,6,1,7,507,514,1.36
December 31 2019,Pinal,AZ,Passenger,1,0,1,158,159,0.63
December 31 2019,Jefferson,WA,Passenger,230,146,376,25617,25993,1.45
January 31 2020,Mason,WA,Passenger,174,142,316,48639,48955,0.65
December 31 2019,Westchester,NY,Passenger,0,1,1,28,29,3.45
December 31 2019,Whatcom,WA,Passenger,1045,499,1544,154250,155794,0.99
January 31 2020,Pacific,WA,Passenger,39,33,72,16347,16419,0.44
December 31 2019,Kittitas,WA,Passenger,95,48,143,30720,30863,0.46
December 31 2019,Whitman,WA,Passenger,43,49,92,23098,23190,0.40
January 31 2020,Pierce,WA,Passenger,2468,1803,4271,560956,565227,0.76
January 31 2020,Pinellas,FL,Passenger,1,1,2,88,90,2.22
January 31 2020,Montgomery,AL,Passenger,0,1,1,37,38,2.63
December 31 2019,Klamath,OR,Passenger,1,0,1,27,28,3.57
February 29 2020,Solano,CA,Passenger,1,0,1,212,213,0.47
January 31 2020,Montgomery,OH,Passenger,0,1,1,62,63,1.59
January 31 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
December 31 2019,Klickitat,WA,Passenger,52,39,91,16031,16122,0.56
February 29 2020,Stevens,WA,Truck,0,0,0,19420,19420,0.00
December 31 2019,Williamson,TX,Passenger,1,0,1,119,120,0.83
December 31 2019,Saint Marys,MD,Passenger,1,0,1,201,202,0.50
February 29 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
December 31 2019,Lewis,WA,Truck,0,0,0,26859,26859,0.00
February 29 2020,Tipton,TN,Passenger,1,0,1,11,12,8.33
January 31 2020,Ada,ID,Passenger,0,1,1,259,260,0.38
February 29 2020,Travis,TX,Passenger,1,2,3,163,166,1.81
December 31 2019,San Diego,CA,Passenger,8,7,15,2809,2824,0.53
January 31 2020,Alameda,CA,Passenger,3,0,3,260,263,1.14
January 31 2020,San Francisco,CA,Passenger,2,1,3,87,90,3.33
January 31 2020,Osceola,FL,Passenger,1,0,1,35,36,2.78
December 31 2019,Maricopa,AZ,Passenger,7,4,11,1259,1270,0.87
December 31 2019,Maui,HI,Passenger,1,0,1,37,38,2.63
December 31 2019,Shelby,TN,Passenger,0,1,1,92,93,1.08
December 31 2019,Mecklenburg,NC,Passenger,1,0,1,76,77,1.30
January 31 2020,Santa Rosa,FL,Passenger,1,0,1,85,86,1.16
January 31 2020,Pima,AZ,Passenger,2,1,3,330,333,0.90
January 31 2020,Sarasota,FL,Passenger,1,0,1,23,24,4.17
January 31 2020,Polk,FL,Passenger,1,0,1,65,66,1.52
December 31 2019,Montgomery,OH,Passenger,0,1,1,60,61,1.64
January 31 2020,Sedgwick,KS,Passenger,1,0,1,91,92,1.09
January 31 2020,Prince William,VA,Passenger,2,3,5,234,239,2.09
January 31 2020,Spartanburg,SC,Passenger,0,1,1,34,35,2.86
January 31 2020,Spokane,WA,Passenger,726,502,1228,323737,324965,0.38
February 29 2020,Yakima,WA,Truck,0,0,0,61987,61987,0.00
January 31 2020,Skamania,WA,Truck,0,0,0,4279,4279,0.00
December 31 2019,Moore,NC,Passenger,0,1,1,165,166,0.60
March 31 2020,,CA,Passenger,1,2,3,219,222,1.35
December 31 2019,Okanogan,,Passenger,28,22,50,20874,20924,0.24
December 31 2019,Tulsa,OK,Passenger,0,1,1,44,45,2.22
January 31 2020,Suffolk City,VA,Passenger,1,0,1,119,120,0.83
December 31 2019,New Castle,DE,Passenger,1,0,1,22,23,4.35
December 31 2019,Pacific,WA,Passenger,39,32,71,16380,16451,0.43
December 31 2019,Nueces,TX,Passenger,1,1,2,86,88,2.27
